ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
460539,Female,Yes,35,Yes,Homemaker,,Low,,Cat_3,D
460540,Female,Yes,30,No,Artist,1,Average,2,Cat_3,D
460541,Female,Yes,36,Yes,Homemaker,1,Average,3,Cat_3,D
460541,Female,Yes,42,Yes,Homemaker,0,Average,3,Cat_3,A
460542,Female,Yes,81,No,Lawyer,1,Low,,Cat_3,B
460542,Female,Yes,89,No,Lawyer,1,Low,,Cat_3,A
460543,Male,Yes,80,No,Lawyer,7,Low,,Cat_3,C
460544,Male,No,77,Yes,Lawyer,0,Low,1,Cat_3,C
460545,Male,Yes,83,No,Lawyer,0,High,3,Cat_3,D
460545,Male,Yes,78,No,Lawyer,1,High,3,Cat_3,A
460546,Female,Yes,71,Yes,Lawyer,1,Low,2,Cat_3,C
460546,Female,Yes,65,Yes,Lawyer,1,Low,2,Cat_3,A
460547,Female,Yes,48,Yes,Homemaker,0,Average,,Cat_3,A
460548,Male,No,33,No,Entertainment,1,Low,5,Cat_3,D
460549,Male,No,40,Yes,Artist,8,Low,2,Cat_3,B
460549,Male,No,36,Yes,Artist,8,Low,2,Cat_3,A
460550,Female,Yes,59,Yes,Artist,0,Average,4,Cat_3,C
460550,Female,Yes,55,Yes,Artist,0,Average,4,Cat_3,A
460551,Male,Yes,49,Yes,Engineer,0,Average,2,Cat_3,C
460551,Male,Yes,52,Yes,Engineer,0,Average,2,Cat_3,A
460552,Male,Yes,61,Yes,Artist,0,Low,2,Cat_3,C
460554,Male,Yes,38,No,Artist,5,Average,3,Cat_3,B
460555,Male,Yes,46,Yes,Homemaker,6,Average,3,Cat_3,C
460555,Male,Yes,52,Yes,Homemaker,7,Average,3,Cat_3,A
460556,Female,Yes,38,Yes,,1,Low,1,Cat_3,C
460556,Female,Yes,41,Yes,,1,Low,1,Cat_3,A
460557,Female,No,36,Yes,Marketing,9,Low,1,Cat_3,C
460558,Female,Yes,37,Yes,Engineer,,Low,1,Cat_3,C
460558,Female,Yes,36,Yes,Engineer,,Low,1,Cat_3,A
460559,Female,No,49,Yes,Healthcare,8,Low,1,Cat_3,D
460560,Female,Yes,57,Yes,Homemaker,9,Average,2,Cat_3,C
460561,Female,No,39,No,Engineer,6,Low,1,Cat_3,C
460561,Female,No,37,No,Engineer,7,Low,1,Cat_3,A
460563,Female,No,41,No,Healthcare,1,Low,2,Cat_1,C
460563,Female,No,40,No,Healthcare,1,Low,2,Cat_1,A
460564,Female,Yes,28,,Homemaker,6,Average,3,Cat_3,C
460565,Female,Yes,42,No,Homemaker,8,Average,4,Cat_3,C
460566,Male,Yes,36,Yes,Homemaker,,Average,2,Cat_3,C
460566,Male,Yes,38,Yes,Homemaker,,Average,2,Cat_3,A
460567,Male,No,39,,Entertainment,8,Low,4,Cat_3,C
460568,Female,Yes,33,Yes,Homemaker,0,High,2,Cat_3,C
460569,Male,Yes,36,Yes,Entertainment,1,Average,4,Cat_3,C
460570,Male,No,25,Yes,Marketing,,Low,5,Cat_3,C
460571,Male,No,25,No,Doctor,0,Low,3,Cat_3,A
460572,Female,No,30,Yes,Engineer,0,Low,4,Cat_3,C
460572,Female,No,33,Yes,Engineer,1,Low,4,Cat_3,A
460573,Male,No,62,No,Healthcare,8,Low,1,Cat_3,C
460574,Male,No,26,Yes,Artist,1,Low,1,Cat_3,A
460575,Female,No,27,No,Artist,,Low,,Cat_3,D
460576,Male,Yes,49,No,Executive,9,High,5,Cat_3,B
460578,Male,Yes,28,No,Entertainment,8,Average,4,Cat_7,D
460579,Female,Yes,38,No,Engineer,0,Average,5,Cat_3,A
460580,Female,Yes,27,No,Engineer,9,Low,2,Cat_3,D
460581,Male,Yes,27,Yes,Healthcare,2,Average,2,Cat_3,A
460582,Female,No,28,No,Entertainment,0,Low,1,Cat_3,A
460583,Male,No,18,No,Marketing,1,Low,6,Cat_3,D
460583,Male,No,18,No,Marketing,0,Low,6,Cat_3,A
460584,Female,No,33,Yes,Homemaker,1,Low,1,Cat_3,A
460585,Male,No,49,No,Entertainment,1,Low,3,Cat_3,D
460585,Male,No,52,No,Entertainment,0,Low,3,Cat_3,A
460586,Male,No,26,Yes,Healthcare,1,Low,2,Cat_3,A
460586,Male,No,26,Yes,Healthcare,0,Low,2,Cat_3,A
460587,Female,No,38,Yes,Artist,,Low,1,Cat_3,B
460588,Male,No,21,No,Healthcare,0,Low,4,Cat_3,D
460588,Male,No,18,No,Healthcare,0,Low,4,Cat_3,A
460589,Male,Yes,49,No,Entertainment,1,Average,6,Cat_3,B
460590,Male,Yes,37,Yes,Artist,0,Average,3,Cat_3,B
460591,Female,Yes,38,Yes,Doctor,1,Low,4,Cat_3,A
460592,Male,No,20,No,Healthcare,1,Low,5,Cat_3,D
460593,Female,Yes,28,No,Healthcare,1,Average,5,Cat_3,D
460594,Female,No,26,Yes,Homemaker,9,Low,,Cat_3,D
460595,Male,Yes,21,No,Doctor,1,Low,3,Cat_3,D
460596,Male,No,29,No,Engineer,0,Low,5,Cat_3,A
460597,Female,No,20,No,Marketing,1,Low,2,Cat_3,D
460597,Female,No,20,No,Marketing,1,Low,2,Cat_3,A
460598,Female,Yes,35,Yes,Doctor,0,Average,3,Cat_3,A
460598,Female,Yes,36,Yes,Doctor,0,Average,3,Cat_3,A
460599,Female,No,31,No,Engineer,0,Low,1,Cat_3,D
460600,Female,No,41,Yes,Artist,2,Low,,Cat_3,A
460601,Female,Yes,37,Yes,,0,Low,3,Cat_3,A
460603,Female,No,22,,Entertainment,0,Low,3,Cat_3,A
460604,Female,Yes,41,No,Entertainment,9,High,2,Cat_4,A
460605,Male,Yes,33,Yes,Doctor,9,Average,2,Cat_4,D
460605,Male,Yes,27,Yes,Doctor,8,Average,2,Cat_4,A
460606,Male,No,20,No,Healthcare,,Low,5,Cat_7,D
460606,Male,No,21,No,Healthcare,,Low,5,Cat_7,A
460607,Male,Yes,36,Yes,Artist,9,Average,4,Cat_7,A
460608,Male,No,19,No,Healthcare,6,Low,8,Cat_7,D
460609,Female,No,33,No,Healthcare,,Low,1,Cat_4,C
460611,Male,No,26,Yes,Healthcare,0,Low,3,Cat_3,C
460612,Male,No,33,Yes,Entertainment,9,Low,4,Cat_3,C
460612,Male,No,27,Yes,Entertainment,8,Low,4,Cat_3,A
460613,Female,Yes,46,Yes,Homemaker,8,Average,3,Cat_3,C
460614,Male,,38,Yes,Entertainment,,Average,4,Cat_3,C
460615,Female,No,25,Yes,Healthcare,,Low,,Cat_3,C
460615,Female,No,28,Yes,Healthcare,,Low,,Cat_3,A
460616,Male,Yes,32,Yes,Homemaker,2,Average,2,Cat_3,C
460617,Female,No,22,No,Healthcare,0,Low,4,Cat_3,D
460618,Male,Yes,55,Yes,Lawyer,,Low,4,Cat_3,C
460618,Male,Yes,63,Yes,Lawyer,,Low,4,Cat_3,A
460619,Male,No,52,Yes,Entertainment,,Low,,Cat_3,C
460619,Male,No,48,Yes,Entertainment,,Low,,Cat_3,A
460620,Male,Yes,55,Yes,Entertainment,0,Average,4,Cat_3,C
460621,Male,Yes,77,Yes,Lawyer,0,Low,2,Cat_3,C
460621,Male,Yes,80,Yes,Lawyer,1,Low,2,Cat_3,A
460622,Female,Yes,71,Yes,Lawyer,7,High,3,Cat_3,A
460623,Male,Yes,41,Yes,Executive,5,Low,2,Cat_1,A
460624,Male,Yes,57,Yes,Homemaker,5,High,2,Cat_6,A
460625,Female,No,28,No,Marketing,9,Low,2,Cat_3,D
460626,Male,Yes,45,No,Doctor,9,High,4,Cat_6,D
460626,Male,Yes,47,No,Doctor,8,High,4,Cat_6,A
460627,Female,No,22,No,,1,Low,4,Cat_3,A
460628,Male,Yes,27,Yes,Entertainment,,Low,,Cat_3,B
460629,Female,Yes,36,Yes,Entertainment,,Average,3,Cat_3,B
460630,Male,Yes,18,No,Executive,,Average,,Cat_3,D
460631,Male,,47,Yes,Marketing,,High,2,Cat_3,D
460632,Female,No,22,No,Healthcare,0,Low,3,Cat_3,D
460633,Male,Yes,37,Yes,,,High,2,Cat_3,A
460633,Male,Yes,35,Yes,,,High,2,Cat_3,A
460634,Female,No,39,No,Entertainment,,Low,6,Cat_3,D
460634,Female,No,40,No,Entertainment,,Low,6,Cat_3,A
460635,Male,Yes,29,No,Healthcare,,High,2,Cat_3,D
460636,Male,Yes,45,Yes,Artist,2,Average,3,Cat_3,D
460637,Female,No,19,No,Healthcare,,Low,,Cat_3,D
460637,Female,No,18,No,Healthcare,,Low,,Cat_3,A
460638,Female,No,26,Yes,Artist,0,Low,4,Cat_3,A
460639,Female,Yes,73,Yes,Lawyer,,Low,5,Cat_1,D
460639,Female,Yes,73,Yes,Lawyer,,Low,5,Cat_1,A
460640,Male,Yes,86,,Lawyer,,Low,1,Cat_3,A
460641,Male,,53,Yes,Artist,,Average,3,Cat_3,C
460642,Male,No,19,No,Healthcare,13,Low,3,Cat_3,D
460644,Female,Yes,40,Yes,Homemaker,2,Average,2,Cat_3,C
460645,Female,No,40,No,Doctor,1,Low,2,Cat_3,C
460645,Female,No,37,No,Doctor,1,Low,2,Cat_3,A
460646,Male,Yes,57,Yes,Entertainment,,Low,,Cat_3,C
460646,Male,Yes,59,Yes,Entertainment,,Low,,Cat_3,A
460647,Female,Yes,26,No,Doctor,1,Average,2,Cat_4,D
460648,Female,,29,No,Homemaker,8,Low,1,Cat_5,D
460649,Female,No,29,No,Homemaker,8,Low,1,Cat_4,D
460650,Female,,20,No,Homemaker,13,Low,1,Cat_4,D
460651,Male,No,32,No,Homemaker,8,Low,,Cat_4,A
460652,Female,No,31,No,Homemaker,8,Low,1,Cat_4,D
460653,Female,No,28,No,Homemaker,8,Low,1,Cat_4,A
460654,Female,Yes,48,No,Marketing,0,Average,2,Cat_4,D
460655,Male,No,19,Yes,Marketing,,Low,4,Cat_6,D
460656,Female,Yes,29,Yes,Artist,9,Low,3,Cat_6,A
460658,Female,Yes,37,Yes,Marketing,7,Average,3,Cat_6,A
460659,Female,Yes,47,Yes,Marketing,,Average,3,Cat_6,A
460659,Female,Yes,46,Yes,Marketing,,Average,3,Cat_6,A
460660,Male,No,41,,Entertainment,6,Low,1,Cat_6,A
460660,Male,No,39,,Entertainment,6,Low,1,Cat_6,A
460661,Female,No,33,No,Homemaker,9,Low,1,Cat_6,D
460661,Female,No,33,No,Homemaker,8,Low,1,Cat_6,A
460662,Female,No,46,No,Homemaker,9,Low,1,Cat_6,D
460663,Female,No,33,No,Homemaker,9,Low,1,Cat_6,D
460664,Female,No,33,No,Homemaker,8,Low,1,Cat_6,D
460665,Male,No,29,No,Entertainment,5,Low,1,Cat_6,D
460666,Female,Yes,49,Yes,Homemaker,14,Low,1,Cat_6,A
460667,Female,No,38,No,Homemaker,8,Low,,Cat_6,A
460668,Female,No,27,Yes,Doctor,,Low,2,Cat_3,D
460668,Female,No,32,Yes,Doctor,,Low,2,Cat_3,A
460669,Male,,48,Yes,Executive,0,Low,2,Cat_1,B
460670,Male,No,42,Yes,Artist,6,Low,2,Cat_3,B
460671,Male,Yes,35,No,Entertainment,8,Average,4,Cat_3,B
460674,Female,No,31,Yes,Entertainment,0,Low,3,Cat_3,A
460675,Female,No,32,Yes,Engineer,,Low,,Cat_3,D
460676,Female,Yes,51,Yes,Marketing,9,Average,1,Cat_3,A
460677,Female,,49,No,Healthcare,2,Average,2,Cat_3,D
460678,Female,No,31,No,Doctor,6,Low,2,Cat_3,A
460678,Female,No,32,No,Doctor,6,Low,2,Cat_3,A
460679,Female,No,19,,Healthcare,9,Low,4,Cat_3,D
460681,Female,No,36,Yes,Homemaker,6,Low,1,Cat_3,B
460682,Male,Yes,43,No,Artist,6,Low,2,Cat_3,B
460683,Male,Yes,59,No,Entertainment,6,Average,3,Cat_3,B
460684,Male,Yes,62,No,Entertainment,8,Low,2,Cat_3,B
460685,Male,No,51,,Artist,6,Low,4,Cat_4,B
460686,Female,,25,No,Homemaker,8,Low,1,Cat_3,A
460687,Female,Yes,48,Yes,Homemaker,9,Average,2,Cat_3,A
460688,Male,Yes,28,No,Doctor,5,Low,2,Cat_3,D
460689,Male,Yes,41,,Executive,6,High,2,Cat_3,A
460690,Female,,51,No,Homemaker,8,Low,,Cat_3,A
460691,Female,No,27,No,Homemaker,8,Low,1,Cat_3,D
460691,Female,No,27,No,Homemaker,8,Low,1,Cat_3,A
460694,Female,Yes,53,No,Engineer,3,Low,1,Cat_6,A
460695,Male,Yes,74,Yes,Lawyer,1,Low,1,Cat_6,A
460696,Male,Yes,73,No,Lawyer,1,Low,1,Cat_6,D
460697,Male,Yes,40,Yes,Artist,4,Average,4,Cat_6,C
460698,Female,Yes,66,No,Artist,,Average,2,Cat_6,B
460699,Male,No,28,Yes,Artist,9,Low,1,Cat_6,A
460700,Male,Yes,56,Yes,Entertainment,1,Average,3,Cat_6,B
460701,Male,Yes,66,No,Entertainment,0,Average,2,Cat_6,B
460702,Female,No,51,Yes,Artist,0,Low,1,Cat_6,B
460702,Female,No,49,Yes,Artist,1,Low,1,Cat_6,A
460703,Female,Yes,30,Yes,Engineer,8,Average,5,Cat_4,D
460703,Female,Yes,33,Yes,Engineer,8,Average,5,Cat_4,A
460704,Male,Yes,43,Yes,Artist,1,Low,2,Cat_6,B
460706,Female,No,27,No,Engineer,6,Low,6,Cat_4,D
460706,Female,No,33,No,Engineer,7,Low,6,Cat_4,A
460707,Male,Yes,38,No,Artist,1,Average,3,Cat_6,C
460708,Male,Yes,35,Yes,Artist,0,Low,3,Cat_6,C
460708,Male,Yes,39,Yes,Artist,0,Low,3,Cat_6,A
460710,Female,Yes,38,Yes,Artist,0,Average,3,Cat_6,A
460711,Female,No,25,Yes,Engineer,8,Low,3,Cat_6,D
460712,Male,Yes,80,Yes,Lawyer,0,Low,1,Cat_6,D
460713,Male,Yes,50,Yes,Doctor,0,Average,3,Cat_6,B
460714,Male,No,26,Yes,Entertainment,1,Low,3,Cat_6,D
460715,Female,Yes,86,No,Lawyer,0,High,2,Cat_6,A
460716,Male,Yes,52,Yes,Entertainment,0,Average,4,Cat_6,B
460716,Male,Yes,50,Yes,Entertainment,0,Average,4,Cat_6,A
460718,Male,Yes,55,No,Executive,3,Low,,Cat_4,D
460719,Female,Yes,75,Yes,Lawyer,1,Low,,Cat_3,D
460719,Female,Yes,84,Yes,Lawyer,0,Low,,Cat_3,A
460720,Female,Yes,48,Yes,Artist,1,Average,2,Cat_6,B
460720,Female,Yes,46,Yes,Artist,0,Average,2,Cat_6,A
460721,Male,No,21,No,Healthcare,1,Low,4,Cat_6,D
460722,Male,Yes,30,No,Entertainment,1,Average,3,Cat_3,A
460722,Male,Yes,31,No,Entertainment,0,Average,3,Cat_3,A
460723,Female,Yes,50,Yes,Engineer,1,High,2,Cat_4,B
460724,Male,No,30,Yes,Healthcare,1,Low,4,Cat_6,D
460725,Male,Yes,41,Yes,Artist,0,High,2,Cat_2,B
460726,Male,Yes,57,Yes,Artist,3,Average,2,Cat_6,A
460727,Male,Yes,69,No,Executive,0,High,4,Cat_3,B
460727,Male,Yes,73,No,Executive,1,High,4,Cat_3,A
460728,Female,,39,Yes,Artist,0,Low,1,Cat_7,B
460729,Male,Yes,36,Yes,Entertainment,9,Low,4,Cat_6,A
460731,Female,No,29,Yes,Artist,1,Low,3,Cat_6,C
460733,Male,No,50,Yes,Marketing,3,Low,4,Cat_6,D
460733,Male,No,53,Yes,Marketing,2,Low,4,Cat_6,A
460734,Male,Yes,35,Yes,Entertainment,8,Average,,Cat_2,D
460734,Male,Yes,41,Yes,Entertainment,9,Average,,Cat_2,A
460735,Male,Yes,35,Yes,Engineer,1,Average,4,Cat_3,A
460736,Male,No,19,No,Entertainment,0,Low,3,Cat_6,C
460737,Male,,66,Yes,Artist,0,Low,,Cat_3,B
460738,Female,No,49,No,Engineer,1,Low,,Cat_7,A
460738,Female,No,53,No,Engineer,0,Low,,Cat_7,A
460739,Male,Yes,41,Yes,Executive,,High,5,Cat_6,A
460740,Male,Yes,38,Yes,Artist,4,Average,3,Cat_6,B
460740,Male,Yes,35,Yes,Artist,2,Average,3,Cat_6,A
460741,Male,Yes,58,Yes,Artist,1,Average,5,Cat_6,B
460742,Male,No,52,Yes,Artist,0,Low,3,Cat_6,B
460743,Male,Yes,55,Yes,Artist,0,Average,3,Cat_6,C
460743,Male,Yes,62,Yes,Artist,0,Average,3,Cat_6,A
460745,Male,Yes,78,No,Lawyer,1,High,2,Cat_6,A
460746,Male,No,22,No,Marketing,1,Low,3,Cat_6,A
460746,Male,No,23,No,Marketing,0,Low,3,Cat_6,A
460747,Male,Yes,52,Yes,Artist,1,Average,4,Cat_3,C
460748,Female,Yes,60,No,Engineer,0,Low,2,Cat_3,A
460749,Male,No,36,Yes,Entertainment,1,Low,2,Cat_6,A
460750,Male,Yes,56,Yes,Entertainment,0,Average,2,Cat_6,C
460751,Female,No,25,No,Artist,1,Low,3,Cat_6,D
460752,Male,Yes,35,Yes,Artist,9,Low,1,Cat_6,A
460753,Female,No,33,No,Healthcare,1,Low,6,Cat_6,A
460754,Female,No,33,Yes,Homemaker,8,Low,1,Cat_6,A
460755,Male,No,33,Yes,Artist,0,Low,1,Cat_6,D
460756,Female,No,28,No,Homemaker,8,Low,,Cat_6,D
460757,Female,Yes,28,No,Homemaker,9,High,3,Cat_6,A
460758,Male,Yes,31,No,Executive,9,Average,2,Cat_6,A
460759,Male,Yes,69,No,Lawyer,1,Low,2,Cat_1,B
460760,Male,Yes,60,No,Artist,1,High,4,Cat_3,B
460761,Male,Yes,52,Yes,Entertainment,0,Average,6,Cat_4,C
460762,Female,No,18,No,Healthcare,0,Low,5,Cat_4,D
460763,Male,No,47,Yes,Artist,1,Low,2,Cat_6,B
460763,Male,No,51,Yes,Artist,1,Low,2,Cat_6,A
460764,Male,No,86,No,Lawyer,1,Low,1,Cat_6,D
460765,Male,Yes,80,No,Lawyer,1,Low,1,Cat_6,D
460767,Male,Yes,57,Yes,Entertainment,8,Average,5,Cat_2,A
460768,Female,No,32,No,Engineer,9,Low,4,Cat_5,A
460769,Female,Yes,76,No,Lawyer,1,High,2,Cat_6,B
460769,Female,Yes,83,No,Lawyer,1,High,2,Cat_6,A
460770,Female,No,25,Yes,Healthcare,5,Low,3,Cat_3,A
460771,Male,Yes,86,Yes,Artist,0,Low,,Cat_6,A
460772,Male,Yes,70,No,Entertainment,1,Low,1,Cat_6,A
460773,Female,Yes,51,Yes,Artist,1,Average,3,Cat_6,C
460775,Male,Yes,59,Yes,Artist,0,Low,2,Cat_6,A
460776,Female,Yes,47,Yes,,2,Low,1,,D
460777,Male,Yes,74,No,Lawyer,0,Low,1,Cat_6,D
460778,Male,No,27,Yes,Artist,0,Low,8,Cat_4,D
460779,Female,No,28,No,Entertainment,1,Low,2,Cat_3,A
460780,Female,No,30,Yes,Healthcare,1,Low,2,Cat_3,A
460780,Female,No,26,Yes,Healthcare,0,Low,2,Cat_3,A
460781,Female,Yes,30,No,Entertainment,1,High,4,Cat_5,D
460782,Male,Yes,77,Yes,Artist,1,High,2,Cat_6,A
460783,Male,Yes,82,Yes,Lawyer,0,Low,1,Cat_6,B
460783,Male,Yes,86,Yes,Lawyer,1,Low,1,Cat_6,A
460784,Male,No,32,Yes,Healthcare,0,Low,6,Cat_7,D
460785,Male,No,29,Yes,Healthcare,0,Low,4,Cat_7,B
460785,Male,No,26,Yes,Healthcare,0,Low,4,Cat_7,A
460786,Male,Yes,71,No,Lawyer,1,High,2,Cat_6,B
460787,Male,No,29,Yes,Healthcare,0,Low,4,Cat_6,A
460788,Female,No,30,Yes,Doctor,0,Low,9,Cat_4,A
460789,Male,Yes,36,Yes,Executive,1,Low,3,Cat_6,D
460789,Male,Yes,42,Yes,Executive,0,Low,3,Cat_6,A
460790,Female,Yes,42,Yes,Artist,0,High,2,Cat_2,C
460791,Female,No,27,Yes,Engineer,9,Low,7,Cat_3,C
460792,Female,No,42,No,Homemaker,11,Low,,Cat_6,A
460793,Female,Yes,28,No,Artist,,Low,3,Cat_3,B
460794,Female,Yes,39,Yes,Homemaker,9,Low,1,Cat_6,D
460794,Female,Yes,41,Yes,Homemaker,9,Low,1,Cat_6,A
460795,Male,Yes,61,Yes,Artist,1,Average,3,Cat_6,C
460796,Male,Yes,69,No,Lawyer,1,Low,3,Cat_6,C
460796,Male,Yes,67,No,Lawyer,0,Low,3,Cat_6,A
460797,Male,Yes,47,Yes,Artist,4,Low,1,Cat_3,A
460798,Female,No,28,No,Engineer,,Low,6,Cat_6,C
460799,Female,No,37,No,Homemaker,1,Low,1,Cat_1,D
460800,Male,No,52,Yes,Artist,1,Low,3,Cat_3,B
460801,Female,Yes,30,No,Entertainment,3,High,2,Cat_6,A
460802,Male,Yes,70,Yes,Lawyer,0,High,2,Cat_6,C
460802,Male,Yes,68,Yes,Lawyer,1,High,2,Cat_6,A
460803,Female,No,26,No,Marketing,0,Low,4,Cat_4,D
460804,Female,No,30,Yes,Artist,0,Low,5,Cat_2,A
460805,Male,No,36,Yes,Healthcare,8,Low,4,Cat_2,A
460807,Male,No,29,No,Healthcare,1,Low,6,Cat_6,D
460808,Male,No,42,Yes,Artist,1,Low,1,Cat_6,B
460809,Male,Yes,72,Yes,Artist,2,Low,1,Cat_6,B
460810,Female,Yes,89,No,Lawyer,1,High,2,Cat_6,D
460811,Female,Yes,52,No,Engineer,1,High,2,Cat_6,A
460811,Female,Yes,45,No,Engineer,0,High,2,Cat_6,A
460812,Male,Yes,59,No,Entertainment,1,Low,2,Cat_6,A
460813,Female,Yes,86,No,Lawyer,1,High,2,Cat_6,A
460813,Female,Yes,86,No,Lawyer,0,High,2,Cat_6,A
460814,Male,Yes,78,No,Entertainment,0,Low,1,Cat_6,D
460815,Male,Yes,55,Yes,Artist,0,High,2,Cat_3,A
460815,Male,Yes,62,Yes,Artist,0,High,2,Cat_3,A
460816,Female,Yes,49,No,,11,Low,2,Cat_3,A
460817,Female,No,20,No,Entertainment,,Low,7,Cat_3,C
460818,Female,No,30,Yes,Healthcare,8,Low,,Cat_2,D
460819,Female,Yes,25,No,Marketing,0,High,5,Cat_4,D
460821,Female,No,31,Yes,Healthcare,,Low,2,Cat_4,D
460822,Male,Yes,41,Yes,Artist,0,Low,2,Cat_6,A
460822,Male,Yes,42,Yes,Artist,1,Low,2,Cat_6,A
460823,Female,Yes,75,Yes,Lawyer,1,High,2,Cat_6,B
460824,Male,Yes,66,Yes,,0,Low,2,Cat_2,B
460825,Male,No,30,Yes,Doctor,1,Low,3,Cat_4,D
460825,Male,No,26,Yes,Doctor,0,Low,3,Cat_4,A
460826,Female,No,32,Yes,Artist,0,Low,3,Cat_4,D
460827,Male,Yes,81,Yes,Lawyer,9,Low,1,Cat_6,D
460828,Male,No,51,No,Entertainment,1,Low,1,Cat_6,A
460828,Male,No,48,No,Entertainment,1,Low,1,Cat_6,A
460829,Male,No,18,Yes,Healthcare,1,Low,2,Cat_6,D
460830,Male,Yes,40,No,Entertainment,2,Average,5,Cat_2,B
460830,Male,Yes,40,No,Entertainment,3,Average,5,Cat_2,A
460831,Male,No,21,No,Healthcare,0,Low,4,Cat_6,D
460831,Male,No,20,No,Healthcare,0,Low,4,Cat_6,A
460832,Female,Yes,41,No,Healthcare,1,Average,4,Cat_6,D
460833,Male,Yes,30,Yes,Healthcare,0,Low,2,Cat_6,A
460834,Male,Yes,25,No,Doctor,1,Low,2,Cat_1,A
460835,Female,Yes,28,Yes,Artist,0,Low,1,Cat_5,A
460836,Female,Yes,33,No,Artist,6,Average,2,Cat_6,C
460837,Female,No,25,Yes,Artist,1,Low,1,Cat_5,A
460838,Male,No,40,Yes,Artist,0,Low,,Cat_6,A
460838,Male,No,37,Yes,Artist,1,Low,,Cat_6,A
460839,Male,No,23,No,Healthcare,4,Low,3,Cat_6,D
460840,Male,Yes,86,Yes,Lawyer,0,Low,1,Cat_6,A
460840,Male,Yes,77,Yes,Lawyer,1,Low,1,Cat_6,A
460841,Female,No,61,Yes,Marketing,1,Low,1,Cat_6,D
460843,Male,No,21,No,Healthcare,1,Low,4,Cat_6,D
460844,Male,Yes,51,Yes,Healthcare,,Low,2,Cat_6,A
460844,Male,Yes,50,Yes,Healthcare,,Low,2,Cat_6,A
460845,Female,No,20,No,Healthcare,0,Low,2,Cat_6,D
460846,Female,No,19,No,Marketing,1,Low,4,Cat_6,D
460846,Female,No,22,No,Marketing,0,Low,4,Cat_6,A
460847,Male,No,27,Yes,Artist,1,Low,3,Cat_6,A
460847,Male,No,26,Yes,Artist,1,Low,3,Cat_6,A
460848,Male,Yes,53,No,Entertainment,10,Average,3,Cat_6,A
460849,Female,Yes,58,No,Doctor,0,Low,1,Cat_3,B
460850,Female,Yes,61,No,Engineer,0,Low,1,Cat_6,B
460851,Male,Yes,69,No,Doctor,0,Average,3,Cat_6,B
460851,Male,Yes,71,No,Doctor,0,Average,3,Cat_6,A
460852,Male,Yes,74,No,Executive,0,Low,,,D
460853,Female,Yes,63,Yes,Artist,1,High,3,Cat_6,C
460854,Female,No,22,No,Marketing,1,Low,2,Cat_1,D
460855,Male,Yes,45,Yes,Artist,,Low,2,Cat_6,A
460855,Male,Yes,50,Yes,Artist,,Low,2,Cat_6,A
460856,Male,Yes,42,Yes,Artist,0,Average,3,Cat_3,C
460857,Male,No,31,No,Entertainment,1,Low,1,Cat_4,A
460857,Male,No,29,No,Entertainment,1,Low,1,Cat_4,A
460858,Male,No,19,No,Healthcare,1,Low,4,Cat_3,D
460859,Male,Yes,50,Yes,Entertainment,,Low,4,Cat_6,D
460859,Male,Yes,51,Yes,Entertainment,,Low,4,Cat_6,A
460860,Male,Yes,52,Yes,Artist,7,Average,4,Cat_6,B
460860,Male,Yes,52,Yes,Artist,6,Average,4,Cat_6,A
460861,Male,No,21,No,Healthcare,1,Low,3,Cat_3,D
460861,Male,No,20,No,Healthcare,1,Low,3,Cat_3,A
460862,Male,Yes,52,No,Entertainment,1,Average,4,Cat_3,B
460863,Male,Yes,66,Yes,Artist,0,Low,5,Cat_6,A
460864,Female,No,20,No,Artist,0,Low,3,Cat_6,D
460865,Male,No,18,No,Healthcare,1,Low,3,Cat_4,D
460866,Male,No,28,Yes,Doctor,1,Low,9,Cat_4,B
460866,Male,No,26,Yes,Doctor,0,Low,9,Cat_4,A
460867,Male,Yes,40,Yes,Doctor,0,Average,5,Cat_6,B
460868,Male,Yes,35,Yes,Artist,1,Average,2,Cat_6,B
460869,Male,Yes,35,Yes,Artist,1,Average,2,Cat_6,B
460870,Male,No,37,Yes,Healthcare,,Low,,Cat_4,A
460871,Female,No,27,Yes,Healthcare,,Low,,Cat_6,D
460871,Female,No,33,Yes,Healthcare,,Low,,Cat_6,A
460872,Female,Yes,39,Yes,Artist,0,Low,2,Cat_4,A
460873,Male,Yes,46,Yes,Entertainment,0,Average,3,Cat_4,B
460874,Female,No,18,No,Healthcare,1,Low,3,Cat_6,D
460875,Male,No,35,Yes,Entertainment,0,Low,3,Cat_3,A
460876,Female,Yes,43,Yes,Artist,1,High,4,Cat_3,C
460877,Female,Yes,47,No,Artist,0,Average,5,Cat_6,B
460877,Female,Yes,53,No,Artist,1,Average,5,Cat_6,A
460878,Male,Yes,47,No,Entertainment,0,Average,4,Cat_6,C
460878,Male,Yes,49,No,Entertainment,0,Average,4,Cat_6,A
460879,Female,No,27,Yes,Healthcare,0,Low,4,Cat_6,C
460880,Male,No,42,Yes,Artist,4,Low,2,Cat_2,A
460881,Male,Yes,72,Yes,Lawyer,1,Low,,Cat_4,D
460882,Male,No,22,No,Healthcare,0,Low,2,Cat_3,D
460882,Male,No,21,No,Healthcare,0,Low,2,Cat_3,A
460883,Male,Yes,68,Yes,Artist,0,High,2,Cat_6,B
